id,re_x,re_y
IS481_03720,1099.33,609.0
IS481_03725,756.0,533.5
IS481_03730,18452.33,6561.0
IS481_03735,36306.67,23039.92
IS481_03740,7657.17,6031.75
IS481_03745,5608.17,8239.17
IS481_03750,1146.67,3013.08
IS481_03755,3166.17,7034.42
IS481_03760,7607.0,5727.67
IS481_03765,1322.5,748.17
IS481_03770,5491.17,2234.83
IS481_03775,1613.0,912.5
IS481_03780,5696.5,3106.08
IS481_03785,2262.17,1218.58
IS481_03790,780.5,853.5
IS481_03795,3009.5,3279.75
IS481_03800,2160.33,2400.83
IS481_03805,4240.67,4855.58
IS481_03810,13416.67,20486.25
IS481_03815,20300.75,30766.5
IS481_03820,4461.83,2973.17
IS481_03825,6706.67,9390.0
IS481_03830,85317.83,36190.33
IS481_03835,28676.67,13069.0
IS481_03840,2719.0,1659.17
IS481_03845,11309.33,5982.83
IS481_03850,7885.75,4623.5
IS481_03855,8331.0,9090.75
IS481_03860,7270.92,6727.83
IS481_03865,2847.83,2112.33
IS481_03870,3705.0,5213.25
IS481_03875,2998.58,6561.75
IS481_03880,6745.0,12374.75
IS481_03885,1474.33,770.0
IS481_03890,1390.5,1375.83
IS481_03895,8146.67,16538.83
IS481_03900,448.0,578.5
IS481_03905,3877.25,4797.67
IS481_03910,1584.17,1511.0
IS481_03915,2453.33,1752.58
IS481_03920,115.5,131.0
IS481_03925,208.5,157.33
IS481_03930,1479.0,774.83
IS481_03935,270.83,136.83
IS481_03940,432.0,228.83
IS481_03945,104.5,67.0
IS481_03950,16766.08,5256.33
IS481_03955,2064.83,876.33
IS481_03960,1541.0,748.5
IS481_03965,3267.25,1898.33
IS481_03970,2580.33,1466.33
IS481_03975,2946.67,2233.33
IS481_03980,842.5,469.67
IS481_03985,1859.0,1054.17
IS481_03990,4085.33,1602.33
IS481_03995,185.83,71.5
IS481_04000,524.67,221.75
IS481_04005,551.33,233.83
IS481_04010,4826.83,4333.0
IS481_04015,2234.33,4763.5
IS481_04020,2548.0,4388.5
IS481_04025,54.75,51.0
IS481_04030,273.67,191.83
IS481_04035,197.83,108.83
IS481_04040,360.33,224.5
IS481_04045,52.0,59.33
IS481_04050,86.83,100.17
IS481_04055,19.33,19.0
IS481_04060,96.83,68.33
IS481_04065,144.33,112.08
IS481_04070,95.83,84.25
IS481_04075,5452.58,12920.92
IS481_04080,4807.58,14583.58
IS481_04085,16154.83,19579.67
IS481_04090,8503.17,15870.83
IS481_04095,644.0,359.0
IS481_04100,426.0,333.5
IS481_04105,755.83,381.0
IS481_04110,521.17,275.33
IS481_04115,609.5,339.83
IS481_04120,209.17,127.67
IS481_04125,584.67,314.33
IS481_04130,1055.17,682.67
IS481_04135,2429.33,1218.5
IS481_04140,545.33,230.83
IS481_04145,745.5,344.0
IS481_04150,4591.17,2209.0
IS481_04155,3843.17,2819.83
IS481_04160,2708.33,1844.0
IS481_04165,3427.92,2603.83
IS481_04170,7767.33,5243.0
IS481_04175,1203.5,608.25
IS481_04180,1949.17,1914.0
IS481_04185,3173.5,3531.83
IS481_04190,2753.33,1259.33
IS481_04195,2215.67,1201.17
IS481_04200,607.17,358.92
IS481_04205,870.0,550.5
IS481_04210,894.33,609.5
IS481_04215,3872.17,1682.0
IS481_04220,1092.5,422.0
IS481_04225,1582.67,524.67
IS481_04230,2292.67,839.0
IS481_04235,2583.5,965.5
IS481_04240,3377.0,4646.0
IS481_04245,1467.17,4169.0
IS481_04250,4323.5,3076.0
IS481_04255,3131.0,2236.5
IS481_04260,5254.67,1353.83
IS481_04265,9347.5,3537.0
IS481_04270,2720.08,920.33
IS481_04275,10420.08,5916.17
IS481_04280,6483.83,3941.0
IS481_04285,1496.58,1061.25
IS481_04290,1330.5,843.33
IS481_04295,2079.08,4047.42
IS481_04300,623.5,922.17
IS481_04305,970.83,601.0
IS481_04310,6046.25,6966.33
IS481_04315,1922.83,1152.0
IS481_04320,3161.5,1150.83
IS481_04325,248.83,424.0
IS481_04330,2240.0,2516.67
